day,f1,precision,recall,accuracy,support
2011-04-13,0.40629921259842516,0.9222222222222223,0.15084745762711865,0.85,943.0
2011-04-14,0.965,0.9280000000000002,0.8368421052631578,0.85,943.0
2011-04-15,0.5655737704918034,0.37333333333333335,0.5499999999999999,0.85,942.0
2011-04-16,0.0,0.0,0.0,0.85,10.0
2011-04-18,0.5730337078651686,0.3720588235294118,0.6142857142857142,0.85,942.0
2011-04-19,0.965,0.9079207920792081,0.659322033898305,0.85,942.0
2011-04-20,0.965,0.8500000000000001,0.7,0.85,942.0
2011-04-21,0.965,0.955,0.6379310344827586,0.85,942.0
2011-04-22,0.0,0.0,0.0,0.85,14.0
2011-04-25,0.965,0.8861111111111111,0.7218181818181818,0.85,942.0
2011-04-26,0.9270142180094787,0.789814814814815,0.670873786407767,0.85,942.0
2011-04-27,0.3870967741935484,0.955,0.14067796610169492,0.85,942.0
2011-04-28,0.965,0.955,0.98,0.85,942.0
2011-04-29,0.525,0.31818181818181823,0.98,0.85,939.0
2011-04-30,0.0,0.0,0.0,0.85,7.0
2011-05-02,0.5880000000000001,0.3890909090909091,0.58,0.85,939.0
2011-05-03,0.7453608247422681,0.525,0.6818181818181818,0.85,939.0
2011-05-04,0.965,0.9268817204301074,0.6473684210526315,0.85,939.0
2011-05-05,0.965,0.8773109243697479,0.8153846153846154,0.85,939.0
2011-05-06,0.965,0.8552845528455284,0.7702702702702702,0.85,937.0
2011-05-07,0.0,0.0,0.0,0.85,12.0
2011-05-09,0.965,0.8560747663551402,0.7,0.85,937.0
2011-05-10,0.5755102040816327,0.38571428571428573,0.5285714285714286,0.85,937.0
2011-05-11,0.9541850220264316,0.8500000000000001,0.6641025641025641,0.85,937.0
2011-05-12,0.965,0.9027027027027028,0.7545454545454544,0.85,937.0
2011-05-13,0.965,0.955,0.6389830508474577,0.85,936.0
2011-05-14,0.0,0.0,0.0,0.85,12.0
